target,type,category
"IRVING",CONTAINS,"Gas stations"
"EXXONMOBIL",CONTAINS,"Gas stations"
"SUNOCO",CONTAINS,"Gas stations"
"CIRCLE K",CONTAINS,"Gas stations"
"GULF OIL",CONTAINS,"Gas stations"
"CVS/PHARMACY",CONTAINS,"Groceries"
"PRICE CHOPPER",CONTAINS,"Groceries"
"DUNKIN",CONTAINS,"Restaurant food & drink"
"AMZ*",CONTAINS,"Shopping"
"PAYPAL",CONTAINS,"Shopping"
"Audible",CONTAINS,"Digital media"
"NETFLIX.COM",CONTAINS,"Digital media"
"ITUNES.COM",CONTAINS,"Digital media"
"Kindle",CONTAINS,"Digital media"
"Amazon Digital",CONTAINS,"Digital media"
"Hulu",CONTAINS,"Digital media"
"VERIZON",CONTAINS,"Utilities"
"GEICO",CONTAINS,"Insurance"
"COMCAST",CONTAINS,"Utilities"
"WAL-MART",CONTAINS,"Shopping"
"AMAZON",CONTAINS,"Shopping"
"AROMA JOES",CONTAINS,"Restaurant food & drink"
"Eversource",CONTAINS,"Utilities"
"Campus Crusade",CONTAINS,"Charity"
"LIBERTY MUTUAL",CONTAINS,"Loan payments"
"FEDLOANSERVICING",CONTAINS,"Loan payments"
"LEASES",CONTAINS,"Car payments"
"Check ",CONTAINS,"Check payments"
